occ,loanamt,action,msa,suffolk,appinc,typur,unit,married,dep,emp,yjob,self,atotinc,cototinc,hexp,price,other,liq,rep,gdlin,lines,mortg,cons,pubrec,hrat,obrat,fixadj,term,apr,prop,inss,inson,gift,cosign,unver,review,netw,unem,min30,bd,mi,old,vr,sch,black,hispan,male,reject,approve,mortno,mortperf,mortlat1,mortlat2,chist,multi,loanprc,thick,white
1,89,1,1120,0,72,0,1,0,0,0,0,0,5849,0,1031,118,0,34.5,1,1,15,2,1,0,17.62999916,34.5,0,360,118,1,0,0,0,0,0,1,99.59999847,3.200000048,0,0,1,0,1,1,0,0,,0,1,0,1,0,0,1,0,0.754237294,0,1
1,128,3,1120,0,74,0,1,1,1,0,0,0,4583,1508,1391,160,0,52,3,1,19,2,2,0,22.54000092,34.09999847,1,360,175,2,0,0,0,0,0,999,847,3.200000048,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0.800000012,1,1
1,128,1,1120,0,84,3,1,0,0,1,1,0,2666,4416,1371,143,0,37,6,1,18,2,2,0,19,26,0,180,145,2,0,0,0,0,0,3,40,3.900000095,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0.895104885,1,1
1,66,1,1120,0,36,0,1,1,0,0,0,1,3000,0,839,110,0,19,1,1,25,2,6,1,24,37,0,360,110,2,0,0,1,0,0,2,158,3.099999905,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0.600000024,0,1
1,120,1,1120,0,59,8,1,1,0,0,0,0,2583,2358,1341,134,0,31,1,1,15,2,1,0,25.10000038,32.09999847,0,360,135,1,1,0,0,0,0,2,69,4.300000191,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0.895522416,0,1
1,111,1,1120,0,63,9,1,0,0,0,0,0,2208,2959,1122,138,0,169,2,1,10,2,6,0,21,33,0,360,144,2,0,0,0,0,0,1,262,3.200000048,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0.804347813,0,1
1,141,1,1120,1,72,1,1,0,0,0,1,0,6000,0,1870,157,0,38,1,1,9,2,1,0,32,36,0,360,162,1,1,0,0,0,0,1,46,3.200000048,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0.89808917,0,1
1,276,1,1120,0,90,6,1,0,0,0,1,0,7500,0,2706,346,0,142,1,1,5,2,1,0,36,37,1,360,365,2,0,0,0,0,0,1,214,3.200000048,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0.797687888,0,1
1,100,1,1120,0,72,1,1,1,1,1,1,0,3234,2524,1112,99.69999695,0,24.5,1,1,2,2,1,0,19.30999947,30.70000076,0,360,105,2,1,0,0,0,0,3,38.79999924,1.799999952,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1.003009081,0,1
1,267,1,1120,0,144,0,1,1,2,0,0,1,5417,4196,2959,422,0,111,3,1,15,1,1,0,26.51000023,49,0,360,422,2,0,0,0,0,0,2,374,3.099999905,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0.632701397,1,1
1,175,1,1120,0,97,0,1,1,0,0,0,0,6292,1758,2081,346.7000122,0,186.6000061,4,1,16,1,2,0,26,37,0,180,351,2,0,0,0,0,0,1,348.3999939,5.300000191,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0.504759133,1,1
1,95,1,1120,0,46,1,1,1,0,0,1,0,2333,1516,1005,135,0,52.33000183,1,1,16,2,6,0,26.10000038,37.09999847,0,360,138,2,0,0,0,0,0,2,66.03199768,3.200000048,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0.703703701,0,1
1,158,3,1120,1,666,0,1,1,4,0,0,0,3036,2504,1442,210,39,188,1,0,13,2,6,1,29,42,1,360,237,1,0,0,0,0,0,3,239,10.60000038,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0.752380967,0,1
1,110,1,1120,0,60,9,1,1,0,0,0,0,5720,0,1373,143,0,153,2,1,17,1,3,0,24,32,0,360,148,2,0,0,0,0,0,2,345,3.099999905,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0.769230783,0,1
